MSA Code,MSA Title,State FIPS Code,State Name,PUMA Code,PUMA Name,MSA 2010 Population,PUMA 2010 Population,Intersection 2010 Population,Percent MSA Population,Percent PUMA Population
31540,"Madison, WI",55,Wisconsin,101,Madison City (Central) PUMA,"605,435","111,829","111,829",18.47,100.00
31540,"Madison, WI",55,Wisconsin,102,Dane County (East) PUMA,"605,435","183,890","183,890",30.37,100.00
31540,"Madison, WI",55,Wisconsin,103,Dane County (West) PUMA,"605,435","192,354","192,354",31.77,100.00
31540,"Madison, WI",55,Wisconsin,800,"Grant, Green, Iowa, Richland & Lafayette Counties PUMA","605,435","146,594","60,529",10.00,41.29
31540,"Madison, WI",55,Wisconsin,1000,Sauk & Columbia Counties PUMA,"605,435","118,809","56,833",9.39,47.84
29460,"Lakeland-Winter Haven, FL",12,Florida,10501,Polk County (Northwest) PUMA,"602,095","173,680","173,680",28.85,100.00
29460,"Lakeland-Winter Haven, FL",12,Florida,10502,Polk County (Northeast) PUMA,"602,095","158,399","158,399",26.31,100.00
29460,"Lakeland-Winter Haven, FL",12,Florida,10503,Polk County (Central) PUMA,"602,095","133,015","133,015",22.09,100.00
29460,"Lakeland-Winter Haven, FL",12,Florida,10504,Polk County (South) PUMA,"602,095","137,001","137,001",22.75,100.00
36260,"Ogden-Clearfield, UT",49,Utah,3001,Tooele & Box Elder Counties PUMA,"597,159","108,193","49,975",8.37,46.19
36260,"Ogden-Clearfield, UT",49,Utah,5001,"Cache, Summit, Morgan & Rich Counties PUMA","597,159","160,713","9,469",1.59,5.89
36260,"Ogden-Clearfield, UT",49,Utah,11001,"Davis County (North)--Layton, Clearfield, Kaysville, Syracuse & Clinton Cities PUMA","597,159","197,389","197,389",33.05,100.00
36260,"Ogden-Clearfield, UT",49,Utah,11002,"Davis County (South)--Bountiful, Farmington & North Salt Lake Cities PUMA","597,159","109,090","109,090",18.27,100.00
36260,"Ogden-Clearfield, UT",49,Utah,57001,"Weber County (West)--Roy, North Ogden, Ogden (Northwest) & West Haven Cities PUMA","597,159","129,395","129,395",21.67,100.00
36260,"Ogden-Clearfield, UT",49,Utah,57002,Weber County (East)--Ogden (Southeast) & South Ogden Cities PUMA,"597,159","101,841","101,841",17.05,100.00
19660,"Deltona-Daytona Beach-Ormond Beach, FL",12,Florida,3500,Flagler & Volusia (North Central) Counties PUMA,"590,289","102,614","102,614",17.38,100.00
19660,"Deltona-Daytona Beach-Ormond Beach, FL",12,Florida,12701,"Volusia County (Central & Northwest)--DeLand, DeBary Cities & Pierson Town PUMA","590,289","110,993","110,993",18.80,100.00
19660,"Deltona-Daytona Beach-Ormond Beach, FL",12,Florida,12702,"Volusia County (Northeast)--Daytona Beach, Ormond Beach & Holly Hill Cities PUMA","590,289","127,717","127,717",21.64,100.00
19660,"Deltona-Daytona Beach-Ormond Beach, FL",12,Florida,12703,"Volusia County--Port Orange, Edgewater, New Smyrna Beach (East) & Oak Hill Cities PUMA","590,289","130,896","130,896",22.17,100.00
19660,"Deltona-Daytona Beach-Ormond Beach, FL",12,Florida,12704,Volusia County (Southwest Central)--Deltona & Lake Helen Cities PUMA,"590,289","118,069","118,069",20.00,100.00
19780,"Des Moines-West Des Moines, IA",19,Iowa,1400,"Warren, Jasper, Marion, Dallas (West) & Madison Counties PUMA","569,633","152,823","82,672",14.51,54.10
19780,"Des Moines-West Des Moines, IA",19,Iowa,1500,Polk (Southwest) & Dallas (East) Counties--West Des Moines & Urbandale Cities PUMA,"569,633","165,663","165,663",29.08,100.00
19780,"Des Moines-West Des Moines, IA",19,Iowa,1600,Polk County (East)--Ankeny & Altoona Cities PUMA,"569,633","117,133","117,133",20.56,100.00
19780,"Des Moines-West Des Moines, IA",19,Iowa,1700,Des Moines City PUMA,"569,633","193,211","193,211",33.92,100.00
19780,"Des Moines-West Des Moines, IA",19,Iowa,1800,South Central Iowa PUMA,"569,633","106,667","10,954",1.92,10.27
27140,"Jackson, MS",28,Mississippi,900,Central Region--Madison & Yazoo Counties PUMA,"567,122","102,275","102,275",18.03,100.00
27140,"Jackson, MS",28,Mississippi,1000,Central Region--Jackson (West & South) & Clinton (South & East) Cities PUMA,"567,122","110,253","110,253",19.44,100.00
27140,"Jackson, MS",28,Mississippi,1100,Central Region--Jackson City (East & Central) PUMA,"567,122","128,992","128,992",22.75,100.00
27140,"Jackson, MS",28,Mississippi,1200,"Central Region--Hinds (West), Warren & Copiah Counties--Vicksburg City PUMA","567,122","105,255","56,482",9.96,53.66
27140,"Jackson, MS",28,Mississippi,1300,Central Region--Rankin & Simpson Counties PUMA,"567,122","169,120","169,120",29.82,100.00
49660,"Youngstown-Warren-Boardman, OH-PA",39,Ohio,1400,Trumbull (Outside Warren City) & Mahoning (Outside Youngstown City) Counties PUMA,"565,773","134,096","134,096",23.70,100.00
49660,"Youngstown-Warren-Boardman, OH-PA",39,Ohio,1500,"Mahoning County (Northeast)--Youngstown City, Boardman & Austintown PUMA","565,773","197,201","197,201",34.86,100.00
49660,"Youngstown-Warren-Boardman, OH-PA",39,Ohio,1600,Trumbull County (South Central)--Warren & Niles Cities PUMA,"565,773","117,838","117,838",20.83,100.00
49660,"Youngstown-Warren-Boardman, OH-PA",42,Pennsylvania,1400,Mercer County PUMA,"565,773","116,638","116,638",20.62,100.00
